"","BCR_id","bcr_metric"
"1","BCR_50",238.17
"2","BCR_72",155.66
"3","BCR_71",164.71
"4","BCR_70",165.26
"5","BCR_69",166.06
"6","BCR_68",167.8
"7","BCR_67",176.01
"8","BCR_66",179.31
"9","BCR_65",184.01
"10","BCR_64",185.01
"11","BCR_63",185.14
"12","BCR_62",196.01
"13","BCR_61",200.3
"14","BCR_60",204.01
"15","BCR_59",205
"16","BCR_58",205.06
"17","BCR_57",207.65
"18","BCR_56",208
"19","BCR_55",212.69
"20","BCR_54",214.32
"21","BCR_53",223.01
"22","BCR_52",229.01
"23","BCR_3",153.88
"24","BCR_51",235.64
"25","BCR_73",143
"26","BCR_75",136.46
"27","BCR_45",72.49
"28","BCR_93",74
"29","BCR_86",78.68
"30","BCR_92",88.37
"31","BCR_91",90.14
"32","BCR_90",94.03
"33","BCR_89",97
"34","BCR_9",102.94
"35","BCR_88",107.75
"36","BCR_87",113.03
"37","BCR_86",118.02
"38","BCR_85",121.05
"39","BCR_84",122
"40","BCR_83",123
"41","BCR_82",123.14
"42","BCR_81",124
"43","BCR_80",125.12
"44","BCR_79",131
"45","BCR_78",131
"46","BCR_77",134.92
"47","BCR_76",135.83
"48","BCR_74",142
"49","BCR_94",66.83
"50","BCR_49",243.88
"51","BCR_46",250
"52","BCR_20",437.01
"53","BCR_19",460.39
"54","BCR_18",463
"55","BCR_17",477
"56","BCR_16",477.96
"57","BCR_15",512
"58","BCR_14",521.06
"59","BCR_13",532.58
"60","BCR_12",556.74
"61","BCR_11",592.34
"62","BCR_10",599.02
"63","BCR_9",617.65
"64","BCR_8",623.02
"65","BCR_7",680.05
"66","BCR_6",826.91
"67","BCR_5",883.35
"68","BCR_4",1307.04
"69","BCR_3",1407.96
"70","BCR_2",1474.73
"71","BCR_1",1548.05
"72","BCR_0",1759.94
"73","BCR_21",429
"74","BCR_47",248.01
"75","BCR_22",428.49
"76","BCR_24",403
"77","BCR_45",255.49
"78","BCR_44",260.91
"79","BCR_43",263.05
"80","BCR_42",274.19
"81","BCR_41",276.56
"82","BCR_40",282.47
"83","BCR_39",298.18
"84","BCR_38",304.01
"85","BCR_37",309.06
"86","BCR_36",319.01
"87","BCR_35",334.01
"88","BCR_34",338.01
"89","BCR_33",342.38
"90","BCR_32",345.79
"91","BCR_31",347.53
"92","BCR_30",354.89
"93","BCR_29",359.54
"94","BCR_28",361.3
"95","BCR_27",373.01
"96","BCR_26",379.11
"97","BCR_25",388.01
"98","BCR_23",424.01
"99","BCR_95",66.51
"100","BCR_48",244.07
