,record_id,Antigen,BCR_id,Score,Rank
0,record_0,B5,BCR_0,-4.003225326538086,0.7128712871287128
1,record_1,B5,BCR_1,-4.005709648132324,0.6831683168316832
2,record_2,EbolaGP,BCR_2,-3.929269552230835,0.801980198019802
3,record_3,EbolaGP,BCR_3,-3.930670738220215,0.7722772277227723
0,record_4,H1Solomon,BCR_4,-3.9492506980895996,0.05094905094905095
1,record_5,H1Solomon,BCR_5,-3.9488847255706787,0.05094905094905095
2,record_6,H4Hubei,BCR_6,-3.949007034301758,0.04395604395604396
3,record_7,H4Hubei,BCR_7,-3.9485726356506348,0.04495504495504495
4,record_8,HK17,BCR_6,-3.9566493034362793,0.0969030969030969
5,record_9,HK17,BCR_8,-3.9584667682647705,0.06893106893106893
