,BCR,Score,Antigen
0,HS103,0.594059405940594,VCL_isoform2
1,HS503,0.3069306930693069,VCL_isoform2
2,HS103,0.5841584158415841,VCL_isoform1
3,HS503,0.19801980198019803,VCL_isoform1
4,HS103,0.7821782178217822,VCL_isoform3
5,HS503,0.6138613861386139,VCL_isoform3
6,HS103,0.7029702970297029,CH25H
7,HS503,0.5742574257425742,CH25H
8,HS103,0.297029702970297,LZTS3_isoform1
9,HS503,0.0,LZTS3_isoform1
10,HS103,0.21782178217821782,LZTS3_isoform2
11,HS503,0.0,LZTS3_isoform2
12,HS103,0.7524752475247525,RSPO2_isoform1
13,HS503,0.594059405940594,RSPO2_isoform1
14,HS103,0.6831683168316832,RSPO2_isoform2
15,HS503,0.49504950495049505,RSPO2_isoform2
16,HS103,0.46534653465346537,RSPO2_isoform3
17,HS503,0.0594059405940594,RSPO2_isoform3
